Name_of_Building/Facility,Address_of_Building/Facility,建築物/設施名稱,建築物/設施名稱,CountryPark,郊野公園,Source_of_water,水源,TentSpace,營位數目,Opening Hours,開放時間,Website,網頁,Latitude,Longitude
Pak Fu Tin Camp Site,Pak Fu Tin,白富田營地,白富田,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_28_PakFuTin.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_28_PakFuTin.html,22.25183,113.99408
Shap Long Camp Site,Shap Long,十塱營地,十塱,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_29_ShapLong.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_29_ShapLong.html,22.23753,113.98818
Lo Kei Wan Camp Site,Lo Kei Wan,籮箕灣營地,籮箕灣,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_30_LoKeiWan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_30_LoKeiWan.html,22.21206,113.91518
Shek Lam Chau Camp Site,Shek Lam Chau,石欖洲營地,石欖洲,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_31_ShekLamChau.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_31_ShekLamChau.html,22.21313,113.90331
Tai Long Wan Camp Site,Tai Long Wan,大浪灣營地,大浪灣,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_32_TaiLongWan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_32_TaiLongWan.html,22.21327,113.87802
Kau Ling Chung Camp Site,Kau Ling Chung,狗嶺涌營地,狗嶺涌,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_33_KauLingChung.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_33_KauLingChung.html,22.20449,113.86373
Man Cheung Po Camp Site,Man Cheung Po,萬丈布營地,萬丈布,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_34_ManCheungPo.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_34_ManCheungPo.html,22.23065,113.86651
Ngong Ping Camp Site,Ngong Ping (Ma On Shan),昂平營地,昂平 (馬鞍山),MA ON SHAN COUNTRY PARK,馬鞍山郊野公園,FLUSHING TOILET,洗手間,20-50,20-50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_20_NgongPing.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_20_NgongPing.html,22.39294,114.25116
Tsin Yue Wan Camp Site,Tsin Yue Wan,煎魚灣營地,煎魚灣,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_36_TsinYueWan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_36_TsinYueWan.html,22.20866,113.84368
Ngong Ping Camp Site,Ngong Ping (Lantau),昂坪營地,昂坪(大嶼山),LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_37_NgongPing.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_37_NgongPing.html,22.2549,113.91422
Nga Ying Kok Camp Site,Nga Ying Kok,牙鷹角營地,牙鷹角,LANTAU NORTH COUNTRY PARK,北大嶼郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_35_NgaYingKok.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_35_NgaYingKok.html,22.23884,113.85283
Cheung Sheung Camp Site,Cheung Sheung,嶂上營地,嶂上,SAI KUNG WEST COUNTRY PARK,西貢西郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_08_CheungSheung.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_08_CheungSheung.html,22.42639,114.31181
Ham Tin Wan Camp Site,Ham Tin Wan,鹹田灣營地,鹹田灣,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,TAP,水喉,More than 50,More than 50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_40_HamTinWan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_40_HamTinWan.html,22.40962,114.3743
Shek Pik Camp Site,Shek Pik,石壁營地,石壁,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,FLUSHING TOILET,洗手間,Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_39_ShekPik.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_39_ShekPik.html,22.22887,113.88991
Kong Ha Au Campsite,Kong Ha Au,降下坳營地,降下坳,PAT SIN LENG COUNTRY PARK,八仙嶺郊野公園,FLUSHING TOILET,洗手間,Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_38_KongHaAu.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_38_KongHaAu.html,22.51459,114.23185
